CATEGORY|DATE|BANK_NAME|ATM_CRM_ONSITE_NOS|ATM_CRM_OFFSITE_NOS|POS_NOS|MICRO_ATM_NOS|BHARAT_QR_CODES_NOS|UPI_QR_CODES_NOS|CREDIT_CARDS_NOS|DEBIT_CARDS_NOS|CREDIT_CARD_POS_TXN_VOLUME_NOS|CREDIT_CARD_POS_TXN_VALUE_AMT|CREDIT_CARD_ECOM_VOLUME_NOS|CREDIT_CARD_ECOM_VALUE_AMT|CREDIT_CARD_OTHERS_VOLUME_NOS|CREDIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS|CASH_WITHDRAWAL_ATM_VALUE_AMT|DEBIT_CARD_POS_TXN_VOLUME_NOS|DEBIT_CARD_POS_TXN_VALUE_AMT|DEBIT_CARD_ECOM_VOLUME_NOS|DEBIT_CARD_ECOM_VALUE_AMT|DEBIT_CARD_OTHERS_VOLUME_NOS|DEBIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS.1|CASH_WITHDRAWAL_ATM_VALUE_AMT.1|CASH_WITHDRAWAL_POS_VOLUME_NOS|CASH_WITHDRAWAL_POS_VALUE_AMT
Private Sector Banks|2024-10-31|TAMILNAD MERCANTILE BANK LTD|507|655|2382|0|0|162626|33095|2347479|49076|219026.76033|17735|109747.67552|0|0.0|2090|8711.6|357803|951666.84284|32257|128296.19168|91|263.213|4993443|23253670.8|0|0.0
Private Sector Banks|2024-10-31|YES BANK LTD|1165|161|72361|96767|269435|480472580|2341974|5154054|7549131|17034738.861360002|1198380|14495581.8605|0|0.0|17298|90879.9|588977|1901593.3048899856|157372|892464.7388499969|45|557.04|2514866|13563852.129|249|250.0
Foreign Banks|2024-10-31|AMERICAN EXPRESS BANKING CORPORATION|0|0|50091|0|0|0|1429916|0|1570740|15371922.427|4704454|44154007.715|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-10-31|BANK OF AMERICA|0|0|0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-10-31|BANK OF BAHRAIN & KUWAIT B.S.C.|0|0|0|0|0|0|0|641|0|0.0|0|0.0|0|0.0|0|0.0|1159|3281.26194|73|2921.15|0|0.0|1564|7902.2|0|0.0
Foreign Banks|2024-10-31|BARCLAYS BANK PLC|0|0|0|0|1|0|0|775|0|0.0|0|0.0|0|0.0|0|0.0|137|382.46438|0|0.0|0|0.0|608|5691.0|0|0.0
Foreign Banks|2024-10-31|CITI BANK|0|0|0|0|0|0|217205|0|144700|929411.434439999|265941|4295555.057279738|0|0.0|513|4415.4|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-10-31|DBS INDIA BANK LTD|439|341|628|90|0|7072|539451|1743319|585011|2850998.5882801404|292930|2404876.4828998726|0|0.0|4187|12267.0|218903|576082.26417|137397|335185.0655899999|0|0.0|823494|4489722.991479999|0|0.0
Foreign Banks|2024-10-31|DEUTSCHE BANK LTD|13|2|0|0|0|4|0|106125|0|0.0|0|0.0|0|0.0|0|0.0|26904|102838.40726000047|12386|48371.51977999986|0|0.0|32680|206563.015|0|0.0
Foreign Banks|2024-10-31|DOHA BANK Q.P.S.C.|2|0|0|0|0|0|0|22453|0|0.0|0|0.0|0|0.0|0|0.0|871|3037.29439|189|335.30596999999995|0|0.0|2117|12417.9|0|0.0
Foreign Banks|2024-10-31|HSBC LTD|46|27|0|0|0|0|780694|816374|990060|4067825.57148993|1577797|14297311.912290184|0|0.0|2690|19358.65619|272091|1413231.89044999|0|0.0|0|0.0|265952|1656818.31673|0|0.0
Foreign Banks|2024-10-31|KEB HANA BANK|1|0|0|0|0|0|0|1575|0|0.0|0|0.0|0|0.0|0|0.0|1194|4020.221|127|356.688|0|0.0|417|3072.413|0|0.0
Foreign Banks|2024-10-31|KOOKMIN BANK|1|0|0|0|0|0|0|441|0|0.0|0|0.0|0|0.0|0|0.0|538|1823.60115|170|347.20148|0|0.0|83|593.3|0|0.0
Foreign Banks|2024-10-31|SBM BANK INDIA LTD|0|0|0|0|0|0|646192|811456|235889|372542.7345200015|427488|973563.351089999|0|0.0|7794|36549.71626|9089|25412.21813|7883|23910.41408|0|0.0|29435|90670.88775999998|0|0.0
Foreign Banks|2024-10-31|STANDARD CHARTERED BANK LTD|102|47|0|0|0|0|969662|1057711|1187632|4654076.211870176|1279738|6586599.080520406|0|0.0|2528|17216.389560000003|354365|1312301.1566900006|155280|619369.0486899903|39|826.796|684237|3686293.56339|0|0.0
Foreign Banks|2024-10-31|WOORI BANK|0|0|0|0|0|0|0|1259|0|0.0|0|0.0|0|0.0|0|0.0|2260|7768.515220000002|1025|2377.63768|0|0.0|760|5898.5|0|0.0
Payment Banks|2024-10-31|AIRTEL PAYMENTS BANK|0|0|0|138539|0|2512376|0|4657932|0|0.0|0|0.0|0|0.0|0|0.0|49018|37218.17332|181668|309024.81463|0|0.0|362772|1572365.68762|0|0.0
Payment Banks|2024-10-31|FINO PAYMENTS BANK|0|0|0|440961|0|11268|0|9857867|0|0.0|0|0.0|0|0.0|0|0.0|150075|332863.11772000004|9521|22238.495420000003|0|0.0|2525284|8407063.203|1|0.9
Payment Banks|2024-10-31|INDIA POST PAYMENTS BANK|0|0|0|192528|0|1383458|0|20519546|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|223832|91062.64968|0|0.0|0|0.0|0|0.0
Payment Banks|2024-10-31|JIO PAYMENTS BANK|0|0|0|0|0|3261|0|298576|0|0.0|0|0.0|0|0.0|0|0.0|16541|15918.73638|11891|31916.2905|1806|646.41116|56214|215984.9|0|0.0
Payment Banks|2024-10-31|NSDL PAYMENTS BANK|0|0|0|301372|0|0|0|1536451|0|0.0|0|0.0|0|0.0|0|0.0|15759|25967.56323|45374|39862.87733|0|0.0|513008|1196183.082|0|0.0
Payment Banks|2024-10-31|PAYTM PAYMENTS BANK|0|0|0|0|0|0|0|30610727|0|0.0|0|0.0|0|0.0|0|0.0|188|83.36055|800|215.25999|0|0.0|220|627.7|0|0.0
Small Finance Banks|2024-10-31|AU SMALL FINANCE BANK LTD|670|6|0|842|0|333600|1032357|8677552|1119114|7464704.668099995|2072108|11972720.78252|539|263.761|5362|34926.9|215398|638798.3017799987|194414|884093.2903099584|201|2986.234|1786723|9488904.132|116|116.0
Small Finance Banks|2024-10-31|CAPITAL SMALL FINANCE BANK LTD|181|2|0|0|0|0|0|240317|0|0.0|0|0.0|0|0.0|0|0.0|26547|95965.9138|3454|15258.81503|0|0.0|126392|741185.49|0|0.0
Small Finance Banks|2024-10-31|EQUITAS SMALL FINANCE BANK LTD|368|4|2659|325|51707|0|0|1553443|0|0.0|0|0.0|0|0.0|0|0.0|128088|318919.60236|32881|126578.13387|0|0.0|2403786|6660796.085|0|0.0
Small Finance Banks|2024-10-31|ESAF SMALL FINANCE BANK LTD|656|2|0|5945|0|0|46|5721466|0|0.0|10|4.922|0|0.0|0|0.0|157904|288485.5545599999|11042|29942.82765|0|0.0|887534|4340316.873|1|1.0
Small Finance Banks|2024-10-31|JANA SMALL FINANCE BANK LTD|59|2|0|130|0|502503|0|3586914|0|0.0|0|0.0|0|0.0|0|0.0|43917|100097.90236|7820|28130.40477|0|0.0|324593|1435883.30331|0|0.0
Small Finance Banks|2024-10-31|NORTH EAST SMALL FINANCE BANK LTD|18|1|0|0|0|0|0|391472|0|0.0|0|0.0|0|0.0|0|0.0|5519|8109.221|2176|2158.11969|0|0.0|115252|333826.2|20|29.479
Small Finance Banks|2024-10-31|SHIVALIK SMALL FINANCE BANK LTD|0|0|0|0|0|0|0|68748|0|0.0|0|0.0|0|0.0|0|0.0|3601|9090.80267|2303|10244.83103|0|0.0|29593|158095.25|0|0.0
Small Finance Banks|2024-10-31|SURYODAY SMALL FINANCE BANK LTD|0|0|0|67|0|0|0|810290|0|0.0|0|0.0|0|0.0|0|0.0|44438|52469.067|842|2847.629|0|0.0|81197|334193.438|0|0.0
Small Finance Banks|2024-10-31|UJJIVAN SMALL FINANCE BANK LTD|607|3|0|0|0|619040|0|7456790|0|0.0|0|0.0|0|0.0|0|0.0|160670|340337.87366000004|41966|135374.29445|0|0.0|2939753|10919530.336|1|1.0
Small Finance Banks|2024-10-31|UNITY SMALL FINANCE BANK LTD|173|0|0|0|0|0|0|45668|0|0.0|0|0.0|0|0.0|0|0.0|7154|12411.640900000008|442|1183.4590400000002|0|0.0|23306|93540.2|0|0.0
Small Finance Banks|2024-10-31|UTKARSH SMALL FINANCE BANK LTD|343|7|0|687|0|38917|4338|1706142|451|2762.86497|1362|2667.1368|22632|3145.124|1|0.1|30118|82887.13980999989|9706|124899.37999999976|18|267.884|263213|1505548.5147099998|0|0.0
Public Sector Banks|2024-12-31|BANK OF BARODA|8395|2383|47037|44909|22566|2295417|2937896|87335032|6803577|13816827.617|3172968|16982669.74|0|0.0|13104|66327.0|3376422|8311973.62979|402051|2567196.02484|25|59.761|23739493|118048467.356|41|45.07445
Public Sector Banks|2024-12-31|BANK OF INDIA|5339|2897|18184|21901|0|1227145|73696|38747535|141428|616391.1657100001|66297|318384.75785999995|0|0.0|9719|57496.74169|2238721|4925169.59648|451900|990956.3126|0|0.0|15265108|63750510.962|267|266.05
Public Sector Banks|2024-12-31|BANK OF MAHARASHTRA|2173|243|1391|3773|355014|927987|31278|14022969|46320|213118.95312|19055|99470.37879999998|0|0.0|755|3744.0|1118280|2396277.77704|216929|623367.3874400001|5588|62019.97904|6086661|28403102.24072|0|0.0
Public Sector Banks|2024-12-31|CANARA BANK|8217|3809|74536|13177|0|3344640|997943|59396108|1114470|4372177.4162|469173|2707241.43315|0|0.0|103464|581758.2|5852115|16562919.99313|914454|3890116.71318|4172|73508.6665|30969820|149324313.711|75|63.856
Public Sector Banks|2024-12-31|CENTRAL BANK OF INDIA|2857|1144|3344|2755|34434|1959821|0|28178425|0|0.0|0|0.0|0|0.0|0|0.0|1462407|3636025.78773|193709|685350.2013000007|0|0.0|8659061|40488347.606|3538|3625.786
Public Sector Banks|2024-12-31|INDIAN BANK|4617|607|20921|13292|0|2867071|282514|33020751|511580|2419444.56242|269017|1347318.5856999997|0|0.0|4777|36844.211|3272571|7844306.04024|559298|1339330.658|158|494.261|19223516|91525693.2429|1479|1489.356
Public Sector Banks|2024-12-31|INDIAN OVERSEAS BANK|2764|737|0|0|0|434804|65086|20478463|79359|250667.49044|25487|100884.97814|0|0.0|2658|13562.6|2278214|5157938.86123|391387|953458.64052|0|0.0|12214319|51422875.81128|0|0.0
Public Sector Banks|2024-12-31|PUNJAB AND SIND BANK|1016|27|958|1665|1104|163637|0|3480941|0|0.0|0|0.0|0|0.0|0|0.0|296211|777892.69733|90694|240432.96924|0|0.0|1397823|6935194.8|0|0.0
Public Sector Banks|2024-12-31|PUNJAB NATIONAL BANK|7826|4208|34302|0|675513|708854|574560|41015342|370982|1627719.70484|270780|1563233.30166|2|70.0|7839|24790.31961|4107211|10857167.01678|1123656|2975134.71932|0|0.0|24874549|128392112.02512|0|0.0
Public Sector Banks|2024-12-31|STATE BANK OF INDIA|26468|37646|1480273|46525|970920|4584539|20246942|240315298|27523011|112074000.4917801|44953793|170060839.65153|0|0.0|141564|588194.50252|31287368|78587115.604|6488176|19458960.03425|843|11914.66517|159324615|846159589.06|16657|15313.58894
Public Sector Banks|2024-12-31|UCO BANK|2254|223|10860|3568|241|1221759|0|12454245|0|0.0|0|0.0|0|0.0|0|0.0|874446|2273536.33153|288847|714244.4531599999|594|8358.22508|6352610|30228287.33468|218|203.39737
Public Sector Banks|2024-12-31|UNION BANK OF INDIA|5557|1206|49500|8005|304258|287913|551230|60574547|573594|2493392.44496|1566213|3206908.73456|0|0.0|10014|43376.68329|4576671|10630461.73038|1723015|3843063.8625|2943|11100.84676|44069604|133559126.823|995|6005.093
Private Sector Banks|2024-12-31|AXIS BANK LTD|6505|7955|1967973|369|638542|96258045|14796963|39115004|35996726|98352742.18356006|26895979|118029642.54504947|0|0.0|77237|382768.25|4718597|16430296.19159|1984668|10910411.224880004|12240|320208.837|17753468|114970138.99113|0|0.0
Private Sector Banks|2024-12-31|BANDHAN BANK LTD|433|5|65860|0|19523|0|0|6085747|0|0.0|0|0.0|0|0.0|0|0.0|244955|812352.78144|76980|400773.4571|0|0.0|2361386|13046398.856|8|5.3
Private Sector Banks|2024-12-31|CITY UNION BANK LTD.|1170|523|7302|92325|0|81930|26844|2963830|50134|226149.9449100076|21729|241970.38463999852|0|0.0|248|1418.7|471838|1333532.18041|34791|121217.37559|0|0.0|2378022|13297318.80038|0|0.0
Private Sector Banks|2024-12-31|CSB BANK LTD.|737|40|0|0|16412|0|153576|906711|280338|799121.69081|1535641|1642650.05174|0|0.0|0|0.0|160077|360314.97235|9811|40211.7214|0|0.0|445332|2246526.2|3|6.0
Private Sector Banks|2024-12-31|DCB BANK LTD|425|5|8012|0|17395|0|41|821559|43|116.79601|18|27.56469|0|0.0|2|1.5|80717|266740.56297|46796|162990.65161|279|7609.297|284603|1637803.278|0|0.0
Private Sector Banks|2024-12-31|DHANALAXMI BANK LTD|241|39|1475|0|0|36330|12941|574838|27512|67880.83773999999|6512|28925.35435|0|0.0|288|1030.25|141256|291050.52347|5738|13073.87893|0|0.0|436340|1917014.43486|0|0.0
Private Sector Banks|2024-12-31|FEDERAL BANK LTD|1739|314|21058|0|0|5737909|1095127|13980395|2589902|7477129.514|1763004|9946996.22571|0|0.0|5599|26634.225|2923729|8192476.197|1166964|4273893.562|3188|45183.39|7938001|40424701.323|53|52.2
Private Sector Banks|2024-12-31|HDFC BANK LTD|12403|8646|1695039|2267|2250508|814156|23145038|58395284|79622189|188356626.88606|34752317|343296595.63555|0|0.0|200644|1311482.94308|10324091|40093324.27825999|6776493|34352983.23835|70085|1004027.7956099998|34278579|231886539.194|2382|2439.59681
Private Sector Banks|2024-12-31|ICICI BANK LTD|10186|6088|1802952|6289|597253|3682428|17901052|31819602|20478069|107681723.4581404|60374419|242481049.5650391|69|4569.654|69336|346519.28|6093733|26905800.92231023|3443590|21042596.169229973|5960|122332.7729|15269145|111707972.831|2|1.432
Private Sector Banks|2024-12-31|IDBI BANK LTD|2377|807|13522|1197|0|352568|41023|12107833|81011|339282.6532|66640|263018.5205|0|0.0|537|3132.1|1109950|2757146.0397800347|215688|681956.5104800093|0|0.0|5068995|26263757.86884|108|54.025
Private Sector Banks|2024-12-31|IDFC FIRST BANK LTD|913|295|44375|7647|0|120368|3291800|6705953|10892866|20275257.876|2401694|16946768.634|0|0.0|26787|128393.2|634543|2181735.11371|262269|3062233.91582|0|0.0|3539100|19173070.525|0|0.0
Private Sector Banks|2024-12-31|INDUSIND BANK LTD|1922|1071|249297|141|45568|7134005|3117373|11057251|4237848|57201553.801|7826116|36892185.983|0|0.0|24081|129305.611|718956|2237587.342|533990|2809269.463|978|84345.36288|3890127|23959817.918347|0|0.0
Private Sector Banks|2024-12-31|JAMMU AND KASHMIR BANK LTD|944|633|14349|942|0|591902|125283|4733915|190265|1682543.11518|103415|402799.15654|0|0.0|9751|41588.02011|819833|2251916.17613|907824|645729.67412|0|0.0|5162516|27926296.611|0|0.0
Private Sector Banks|2024-12-31|KARNATAKA BANK LTD|944|562|10590|0|0|110467|0|5490143|0|0.0|0|0.0|0|0.0|0|0.0|746880|1576205.20113|53031|165967.64371|0|0.0|3783632|18429413.823|0|0.0
Private Sector Banks|2024-12-31|KARUR VYSYA BANK LTD|1493|704|2740|0|0|44653|10248|5112105|23237|171223.16478000002|6815|105677.68746000002|0|0.0|530|4273.0|913923|2433800.0659600017|133535|608426.36655|0|0.0|4041537|20155295.71839|0|0.0
Private Sector Banks|2024-12-31|KOTAK MAHINDRA BANK LTD|1896|1441|80585|0|138361|680132|5021613|34694454|11913684|27640905.42031|4394932|40001652.23003|0|0.0|27564|136814.408|1946707|5344279.248|1634794|5437832.185|0|0.0|10353795|52946253.69276999|0|0.0
Private Sector Banks|2024-12-31|NAINITAL BANK LTD|0|0|0|0|0|0|0|284607|0|0.0|0|0.0|0|0.0|0|0.0|14023|28509.197|3355|11159.209|0|0.0|68387|337460.6|0|0.0
Private Sector Banks|2024-12-31|RBL BANK LTD|376|35|2119293|0|3429|138274|5038440|1610758|5540360|30437321.65826|5424398|44776305.16408|0|0.0|35592|156871.02809|157192|476896.6164|91766|644532.35479|71|3187.409|519098|2789843.65|0|0.0
Private Sector Banks|2024-12-31|SOUTH INDIAN BANK|910|370|13940|0|38917|99928|385372|3777228|652597|2514753.23859|673909|4326770.721639999|0|0.0|0|0.0|1033157|2793940.51437|168593|801651.76013|0|0.0|2870579|14604444.573939998|0|0.0
Private Sector Banks|2024-12-31|TAMILNAD MERCANTILE BANK LTD|508|654|2346|0|0|168891|33049|2384102|44678|205222.17848|16647|105848.38869|0|0.0|2039|8432.46557|357803|951666.84284|29642|131828.559|90|249.281|4702814|21639415.4|0|0.0
Private Sector Banks|2024-12-31|YES BANK LTD|1168|157|98651|95092|197898|491987520|2407944|5022677|8607804|17484424.569580004|1113324|13531692.274139998|0|0.0|16453|85730.8|531199|1576969.4325900087|138255|886384.4346499977|32|425.704|2124479|11495119.812|248|248.0
Foreign Banks|2024-12-31|AMERICAN EXPRESS BANKING CORPORATION|0|0|36444|0|0|0|1437498|0|1738714|15017768.001|4418571|42124514.054|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-12-31|BANK OF AMERICA|0|0|0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2024-12-31|BANK OF BAHRAIN & KUWAIT B.S.C.|0|0|0|0|0|0|0|802|0|0.0|0|0.0|0|0.0|0|0.0|1114|3621.72719|83|2393.02721|0|0.0|1512|7891.05|0|0.0
Foreign Banks|2024-12-31|BARCLAYS BANK PLC|0|0|0|0|1|0|0|1058|0|0.0|0|0.0|0|0.0|0|0.0|100|579.8136800000001|0|0.0|0|0.0|605|5573.9|0|0.0
Foreign Banks|2024-12-31|CITI BANK|0|0|0|0|0|0|223969|0|143621|1129885.244340008|237890|4018712.644499873|0|0.0|603|5217.9|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
