CATEGORY|DATE|BANK_NAME|ATM_CRM_ONSITE_NOS|ATM_CRM_OFFSITE_NOS|POS_NOS|MICRO_ATM_NOS|BHARAT_QR_CODES_NOS|UPI_QR_CODES_NOS|CREDIT_CARDS_NOS|DEBIT_CARDS_NOS|CREDIT_CARD_POS_TXN_VOLUME_NOS|CREDIT_CARD_POS_TXN_VALUE_AMT|CREDIT_CARD_ECOM_VOLUME_NOS|CREDIT_CARD_ECOM_VALUE_AMT|CREDIT_CARD_OTHERS_VOLUME_NOS|CREDIT_CARD_OTHERS_VALUE_AMT|CREDIT_CARD_CASH_WITHDRAWAL_ATM_VOLUME_NOS|CREDIT_CARD_CASH_WITHDRAWAL_ATM_VALUE_AMT|DEBIT_CARD_POS_TXN_VOLUME_NOS|DEBIT_CARD_POS_TXN_VALUE_AMT|DEBIT_CARD_ECOM_VOLUME_NOS|DEBIT_CARD_ECOM_VALUE_AMT|DEBIT_CARD_OTHERS_VOLUME_NOS|DEBIT_CARD_OTHERS_VALUE_AMT|DEBIT_CARD_CASH_WITHDRAWAL_ATM_VOLUME_NOS|DEBIT_CARD_CASH_WITHDRAWAL_ATM_VALUE_AMT|CASH_WITHDRAWAL_POS_VOLUME_NOS|CASH_WITHDRAWAL_POS_VALUE_AMT
Public Sector Banks|2025-07-31|UCO BANK|2358|210|10743|3568|159|1373600|0|13072401|0|0.0|0|0.0|0|0.0|0|0.0|781594|2006963883.0|231840|708419867.0|739|12632866.809999999|5986444|28884895634.0|26|19800.0
Public Sector Banks|2025-07-31|UNION BANK OF INDIA|7699|1196|52122|8051|358573|290031|478440|56966242|493928|2168341411.0|1796367|3259053379.0|0|0.0|7874|34154974.0|3874864|9139303732.46|1229893|3272263558.98|2303|9538749.0|40944796|120648068642.0|4|3550.0
Private Sector Banks|2025-07-31|AXIS BANK LTD|6404|6778|2449894|369|713647|108001427|15177034|40912067|42491052|98044162569.40028|28759985|129721308290.86351|0|0.0|70252|380922034.21999997|3838189|13695342541.12|1871215|12499192376.93|10813|275478514.36|14975834|99218567980.0|0|0.0
Private Sector Banks|2025-07-31|BANDHAN BANK LTD|425|5|70050|0|34877|0|6|6362771|0|0.0|0|0.0|0|0.0|0|0.0|197179|652423009.3900001|46913|245391599.17|0|0.0|2051399|11007996749.0|6|3000.0
Private Sector Banks|2025-07-31|CITY UNION BANK LTD.|1250|516|7365|77740|0|67651|47284|3226609|49977|215991643.2|23492|247516392.4|0|0.0|166|829200.0|443662|1276367694.3300002|40953|125568097.80000001|0|0.0|2275865|13918551581.87|0|0.0
Private Sector Banks|2025-07-31|CSB BANK LTD.|769|38|0|0|18628|0|163454|943700|247592|666021434.15|1756754|1657316900.72|0|0.0|0|0.0|120627|307820003.81|8448|35174769.18|0|0.0|366804|1951067100.0|0|0.0
Private Sector Banks|2025-07-31|DCB BANK LTD|434|5|8287|0|23116|0|685|1102299|1201|4469029.14|802|5878140.43000001|0|0.0|28|190500.0|73709|223066280.46|48582|214611299.99|191|5860739.0|218238|1424924547.0|0|0.0
Private Sector Banks|2025-07-31|DHANALAXMI BANK LTD|242|38|1557|0|0|39998|13971|598895|26936|66931817.949999996|7424|34722432.13|0|0.0|295|974700.0|118806|254712692.51|5225|13269697.52|0|0.0|384453|1731009346.39|0|0.0
Private Sector Banks|2025-07-31|FEDERAL BANK LTD|1784|311|21492|0|0|6049484|1439404|14476438|3169926|8064349837.0|1863152|10864062971.77|0|0.0|5587|26339450.0|2561836|7609742985.0|1148746|4870980399.0|3134|46801960.34|6913225|37445141092.0|0|0.0
Private Sector Banks|2025-07-31|HDFC BANK LTD|12841|8475|1720841|2017|2233940|930795|24804437|60826016|91077374|200451063451.48|38835761|337525113488.14|0|0.0|158217|1063724127.14|8448616|33573723610.57|6313524|38762244095.880005|40159|787872765.2600001|30629848|214392491673.0|32|31224.03
Private Sector Banks|2025-07-31|ICICI BANK LTD|9778|3474|2177401|6251|603741|3820161|18048654|31437987|17718823|97890204461.0903|68627394|263812517666.6245|48|3677571.0|51551|266367854.99999997|4752702|21828754625.270103|3122558|22424554572.149826|4983|130187657.8|12548940|96667749409.0|1|130.0
Private Sector Banks|2025-07-31|IDBI BANK LTD|2368|673|13784|1251|0|389298|44737|12223675|78164|360512916.0|70391|330328329.6|0|0.0|580|3672657.08|946176|2323046404.0|194860|640849003.0|0|0.0|4371893|23285000000.0|126|40473.5
Private Sector Banks|2025-07-31|IDFC FIRST BANK LTD|750|230|39951|7262|0|183394|3861524|6821034|13888461|23318376631.0|2805322|20002517703.0|0|0.0|21815|113354100.0|570219|2683837672.99|317782|4396549912.49|0|0.0|2957056|17160877931.000002|0|0.0
Private Sector Banks|2025-07-31|INDUSIND BANK LTD|2046|1010|199741|0|12312|7950663|3192572|11263143|3958139|31193532907.0|9257713|57994156066.0|0|0.0|20972|114132660.0|583292|1809268800.0|448204|2466342116.0|779|64443458.43|3471087|20014271127.935997|0|0.0
Private Sector Banks|2025-07-31|JAMMU AND KASHMIR BANK LTD|948|635|14150|1319|0|636047|132739|5006593|186150|1693959219.76|106750|435942664.27|0|0.0|10938|50141876.24|683288|1667612567.3|680647|652754245.6400001|0|0.0|4796831|25846789522.0|0|0.0
Private Sector Banks|2025-07-31|KARNATAKA BANK LTD|954|542|9657|0|0|134013|0|5638398|0|0.0|0|0.0|0|0.0|0|0.0|656365|1363310995.23|48362|158706760.92|0|0.0|3389118|17124890717.0|0|0.0
Private Sector Banks|2025-07-31|KARUR VYSYA BANK LTD|1535|673|1074|0|0|45954|10177|5479691|23064|163258020.73000002|8657|128276047.39999999|0|0.0|518|4134899.9999999995|823995|2192928449.1200013|121718|581556260.51|0|0.0|3710325|19471120064.23|0|0.0
Private Sector Banks|2025-07-31|KOTAK MAHINDRA BANK LTD|1985|944|77944|0|153113|728314|4581725|36089071|12730282|25583416131.760002|4133904|36094525682.05|0|0.0|22316|112771778.0|1652635|4510486772.0|1570478|5608634180.0|0|0.0|8918216|47594377748.06001|0|0.0
Private Sector Banks|2025-07-31|NAINITAL BANK LTD|0|0|0|0|0|0|0|310629|0|0.0|0|0.0|0|0.0|0|0.0|11832|23593341.68|3391|11697330.6|0|0.0|57615|283352100.0|0|0.0
Private Sector Banks|2025-07-31|RBL BANK LTD|378|37|3079094|0|1596|142634|4646898|1653167|4716311|25892263998.100002|5818291|46326134587.36|0|0.0|30454|146454999.55|119298|394759519.69|69648|434789031.8899999|63|2322286.55|420024|2364919630.0|0|0.0
Private Sector Banks|2025-07-31|SOUTH INDIAN BANK|909|364|13747|0|37994|106289|366696|4018696|522355|2154585230.36|609953|4054808606.78|0|0.0|0|0.0|893015|2568351497.23|166879|921955844.85|0|0.0|2494833|13171870100.0|0|0.0
Private Sector Banks|2025-07-31|TAMILNAD MERCANTILE BANK LTD|505|647|2152|0|0|192225|26662|2518214|41280|189342064.09|17867|112505122.14999999|0|0.0|1980|8284500.0|281032|946413427.37|27181|196330485.63|77|218560.0|4316609|21777820200.0|0|0.0
Private Sector Banks|2025-07-31|YES BANK LTD|1176|146|98492|76200|194145|530951634|2399250|5348032|11506979|19757903600.31|1261186|15770693348.37|0|0.0|8741|43510900.0|426752|1330452626.3500006|130711|804869104.8399961|42|472899.0|1731790|10061077864.0|0|0.0
Foreign Banks|2025-07-31|AMERICAN EXPRESS BANKING CORPORATION|0|0|14721|0|0|0|1390801|0|1643773|14139364884.0|4213197|38308373853.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2025-07-31|BANK OF AMERICA|0|0|0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2025-07-31|BANK OF BAHRAIN & KUWAIT B.S.C.|0|0|0|0|0|0|0|1074|0|0.0|0|0.0|0|0.0|0|0.0|1279|4139260.0|0|0.0|0|0.0|1463|7814800.0|0|0.0
Foreign Banks|2025-07-31|BARCLAYS BANK PLC|0|0|0|0|1|0|0|486|0|0.0|0|0.0|0|0.0|0|0.0|185|513601.42999999993|0|0.0|0|0.0|583|5393400.0|0|0.0
Foreign Banks|2025-07-31|CITI BANK|0|0|0|0|0|0|245457|0|172134|1093315543.800014|334662|4373807620.099484|0|0.0|452|3790700.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0
Foreign Banks|2025-07-31|DBS INDIA BANK LTD|413|330|658|90|0|8636|428198|1653045|414561|1927405887.4299998|290596|2496840722.23|0|0.0|1676|5043300.0|159415|414000779.63|76909|261471510.64|0|0.0|649368|3747540658.9999456|0|0.0
Foreign Banks|2025-07-31|DEUTSCHE BANK LTD|12|3|0|0|0|1|0|102689|0|0.0|0|0.0|0|0.0|0|0.0|19878|73414034.0099999|13734|50619726.39999982|0|0.0|22779|144061610.0|0|0.0
Foreign Banks|2025-07-31|DOHA BANK Q.P.S.C.|2|0|0|0|0|0|0|23130|0|0.0|0|0.0|0|0.0|0|0.0|1312|5032536.1|228|796828.16|0|0.0|2138|13958000.0|0|0.0
Foreign Banks|2025-07-31|HSBC LTD|46|25|0|0|0|0|956811|828992|1121501|4283386023.460006|1963251|12598434890.88081|0|0.0|2679|18808218.820000008|275731|1460545480.4000003|0|0.0|0|0.0|228994|1431891314.0600004|0|0.0
Foreign Banks|2025-07-31|KEB HANA BANK|1|0|0|0|0|0|0|1746|0|0.0|0|0.0|0|0.0|0|0.0|1027|3478890.0|103|275279.0|0|0.0|210|1230600.0|0|0.0
Foreign Banks|2025-07-31|KOOKMIN BANK|0|0|0|0|0|0|0|568|0|0.0|0|0.0|0|0.0|0|0.0|438|1258340.46|156|275062.14|0|0.0|68|510000.0|0|0.0
Foreign Banks|2025-07-31|SBM BANK INDIA LTD|0|0|0|0|0|40|717500|834380|148609|198539049.31999987|324995|436216331.55999964|0|0.0|1352|3740793.7600000002|8474|25580116.05|8648|36752034.260000005|0|0.0|25849|88897053.15|0|0.0
Foreign Banks|2025-07-31|STANDARD CHARTERED BANK LTD|101|39|0|0|0|0|796269|855683|820738|3141177339.5600348|1019093|5690498900.130169|0|0.0|1239|8250640.63|224336|853616103.2299987|119937|544575273.2300029|26|369900.0|416853|2386719814.34|0|0.0
Foreign Banks|2025-07-31|WOORI BANK|0|0|0|0|0|0|0|1410|0|0.0|0|0.0|0|0.0|0|0.0|1581|6456338.899999998|670|2182755.91|0|0.0|627|4710300.0|0|0.0
Payment Banks|2025-07-31|AIRTEL PAYMENTS BANK|0|0|0|153733|0|1169690|0|7223535|0|0.0|0|0.0|0|0.0|0|0.0|355973|43789040.54|41984|69705694.57|0|0.0|483179|1850321748.3600001|0|0.0
Payment Banks|2025-07-31|FINO PAYMENTS BANK|0|0|0|459843|0|11202|0|10778619|0|0.0|0|0.0|0|0.0|0|0.0|121824|291275767.66|2590|6339618.3|0|0.0|2109571|7034901872.0|2|1500.0
Payment Banks|2025-07-31|INDIA POST PAYMENTS BANK|0|0|0|197371|0|2716325|0|27229649|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|175853|127958292.97|0|0.0|0|0.0|0|0.0
Payment Banks|2025-07-31|JIO PAYMENTS BANK|0|0|0|0|0|132761|0|1048576|0|0.0|0|0.0|0|0.0|0|0.0|14547|27329580.97|26843|112348863.4|2114|1261395.73|101368|517861200.0|0|0.0
Payment Banks|2025-07-31|NSDL PAYMENTS BANK|0|0|0|298328|0|0|0|919103|0|0.0|0|0.0|0|0.0|0|0.0|16525|22821938.54|13013|32137265.25|0|0.0|449682|1197910800.0|0|0.0
Payment Banks|2025-07-31|PAYTM PAYMENTS BANK|0|0|0|0|0|0|0|30586682|0|0.0|0|0.0|0|0.0|0|0.0|73|43842.48|432|34107.05|0|0.0|40|110600.0|0|0.0
Small Finance Banks|2025-07-31|AU SMALL FINANCE BANK LTD|671|6|0|852|0|351128|976635|8880980|846023|4381968827.64|2315207|5629210851.859999|314|245792.0|2247|12115400.0|161721|444919445.48|168058|745276291.6599259|139|2070107.0|1337197|7018502594.0|0|0.0
Small Finance Banks|2025-07-31|CAPITAL SMALL FINANCE BANK LTD|194|2|0|0|0|0|0|237901|0|0.0|0|0.0|0|0.0|0|0.0|22528|63404537.4|2049|15736931.14|0|0.0|108488|626021930.0|0|0.0
Small Finance Banks|2025-07-31|EQUITAS SMALL FINANCE BANK LTD|375|4|2573|336|60679|0|1527|1252795|5604|27819409.060000002|1857|18766982.800000016|0|0.0|49|337200.0|90361|228691567.95999998|20553|129048818.66999999|0|0.0|1880783|5360895389.0|0|0.0
Small Finance Banks|2025-07-31|ESAF SMALL FINANCE BANK LTD|714|2|0|4990|0|0|2231|5886414|1951|3214076.8699999987|15628|10730156.300000003|0|0.0|8|9500.0|127982|275579577.87999994|9007|35961413.37|0|0.0|701101|3452085620.0|0|0.0
Small Finance Banks|2025-07-31|JANA SMALL FINANCE BANK LTD|58|3|0|173|0|510416|0|4013681|0|0.0|0|0.0|0|0.0|0|0.0|41975|98067027.71|7054|30124528.75|0|0.0|461940|1813360800.4399998|0|0.0
Small Finance Banks|2025-07-31|SLICE SMALL FINANCE BANK LTD|17|1|0|0|0|0|0|1804955|0|0.0|0|0.0|0|0.0|0|0.0|5874|10651122.26|15703|66500951.690000005|0|0.0|104129|348408300.0|209|740814.44
Small Finance Banks|2025-07-31|SHIVALIK SMALL FINANCE BANK LTD|0|0|0|0|0|0|0|33356|0|0.0|0|0.0|0|0.0|0|0.0|2543|6314940.499999998|1551|8540297.12|0|0.0|21292|112350420.0|0|0.0
Small Finance Banks|2025-07-31|SURYODAY SMALL FINANCE BANK LTD|0|0|0|67|0|0|3070|890429|929|2356001.86|4627|6523728.3|0|0.0|0|0.0|7626|15996899.0|2245|8052101.0|0|0.0|72070|331284188.0|0|0.0
Small Finance Banks|2025-07-31|UJJIVAN SMALL FINANCE BANK LTD|609|4|0|0|0|564319|0|6826828|0|0.0|0|0.0|0|0.0|0|0.0|137267|293462743.15|29134|125608916.79|0|0.0|3116092|12515964315.0|1|2000.0
Small Finance Banks|2025-07-31|UNITY SMALL FINANCE BANK LTD|194|0|0|0|0|0|11203|99437|6684|24770102.68|15939|40864053.160000004|0|0.0|36|119900.0|8124|19818119.55|1067|5155871.670000001|0|0.0|37790|176467469.0|0|0.0
Small Finance Banks|2025-07-31|UTKARSH SMALL FINANCE BANK LTD|98|1|0|778|0|40723|163294|1738325|12416|15907632.02|50681|49590315.87|1583107|282920438.0|481|432500.0|19271|64509899.50999998|3439|18926758.720000006|0|0.0|151500|821805347.0|0|0.0
